id, name
alfa romeo,ALFA ROMEO
aston martin lagonda ltd,Aston Martin Lagonda Ltd
audi,Audi
bmw,BMW
chevrolet,Chevrolet
dodge,Dodge
ferrari,Ferrari
honda,Honda
jaguar,Jaguar
lamborghini,Lamborghini
mazda,MAZDA
mclaren,McLaren
mercedes-benz,Mercedes-Benz
nissan,NISSAN
pagani automobili s.p.a.,Pagani Automobili S.p.A.
porsche,Porsche
fiat,FIAT
mini,Mini
scion,SCION
subaru,Subaru
bentley,Bentley
buick,Buick
ford,Ford
hyundai motor company,HYUNDAI MOTOR COMPANY
lexus,LEXUS
maserati,MASERATI
roush,Roush
volkswagen,Volkswagen
acura,Acura
cadillac,Cadillac
infiniti,INFINITI
kia motors corporation,KIA MOTORS CORPORATION
mitsubishi motors corporation,Mitsubishi Motors Corporation
rolls-royce motor cars limited,Rolls-Royce Motor Cars Limited
toyota,TOYOTA
volvo,Volvo
chrysler,Chrysler
lincoln,Lincoln
gmc,GMC
ram,RAM
chevrolet,CHEVROLET
jeep,Jeep
land rover,Land Rover
