id,name,state,section_id:id
Slot0A,Slot0A,1,parking_section_demo_1
Slot1A,Slot1A,1,parking_section_demo_1
Slot2A,Slot2A,1,parking_section_demo_1
Slot3A,Slot3A,1,parking_section_demo_1
Slot4A,Slot4A,1,parking_section_demo_1
Slot5A,Slot5A,1,parking_section_demo_1
Slot6A,Slot6A,1,parking_section_demo_1
Slot7A,Slot7A,1,parking_section_demo_1
Slot8A,Slot8A,1,parking_section_demo_1
Slot9A,Slot9A,1,parking_section_demo_1
Slot0B,Slot0B,1,parking_section_demo_2
Slot1B,Slot1B,1,parking_section_demo_2
Slot2B,Slot2B,1,parking_section_demo_2
Slot3B,Slot3B,1,parking_section_demo_2
Slot4B,Slot4B,1,parking_section_demo_2
Slot5B,Slot5B,1,parking_section_demo_2
Slot6B,Slot6B,1,parking_section_demo_2
Slot7B,Slot7B,1,parking_section_demo_2
Slot8B,Slot8B,1,parking_section_demo_2
Slot9B,Slot9B,1,parking_section_demo_2
Slot0C,Slot0C,1,parking_section_demo_3
Slot1C,Slot1C,1,parking_section_demo_3
Slot2C,Slot2C,1,parking_section_demo_3
Slot3C,Slot3C,1,parking_section_demo_3
Slot4C,Slot4C,1,parking_section_demo_3
Slot5C,Slot5C,1,parking_section_demo_3
Slot6C,Slot6C,1,parking_section_demo_3
Slot7C,Slot7C,1,parking_section_demo_3
Slot8C,Slot8C,1,parking_section_demo_3
Slot9C,Slot9C,1,parking_section_demo_3
Slot0D,Slot0D,1,parking_section_demo_4
Slot1D,Slot1D,1,parking_section_demo_4
Slot2D,Slot2D,1,parking_section_demo_4
Slot3D,Slot3D,1,parking_section_demo_4
Slot4D,Slot4D,1,parking_section_demo_4
Slot5D,Slot5D,1,parking_section_demo_4
Slot6D,Slot6D,1,parking_section_demo_4
Slot7D,Slot7D,1,parking_section_demo_4
Slot8D,Slot8D,1,parking_section_demo_4
Slot9D,Slot9D,1,parking_section_demo_4
